,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('gas_boiler', 'heat_generation'), 'status')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electricity', 'electrolysis'), 'status')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-02-09 02:00:00,907.0398076496901,770.9838365022366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.11075697396325,336.220402875,1.0,0.0,0.0,0.0,0.0,1396.677923587763,0.0,1392.0829695
2018-02-09 03:00:00,961.777672061455,817.5110212522367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.0388949559351,335.337651125,1.0,0.0,0.0,0.0,0.0,1442.3223565877631,0.0,1437.7274025000002
2018-02-09 04:00:00,1007.6006116202784,856.4605198772366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.85756791331056,333.1159745,1.0,0.0,0.0,0.0,0.0,1479.050178587763,0.0,1474.4552245
2018-02-09 05:00:00,1146.3069163261607,974.3608788772366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.66247092856761,330.747485,1.0,0.0,0.0,0.0,0.0,1594.582048087763,0.0,1589.987094
2018-02-09 06:00:00,1359.853870737926,1155.875790127237,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.66247092856761,330.747485,1.0,0.0,0.0,0.0,0.0,1776.096959337763,0.0,1771.5020052500001
2018-02-09 07:00:00,1352.5625713261604,1149.6781856272364,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.7207987909046,331.45432175,1.0,0.0,0.0,0.0,0.0,1770.6061915877629,0.0,1766.0112374999999
2018-02-09 08:00:00,1357.4424639732192,1153.8260943772364,1.0,200.00000000000006,1.0,289.47368421052647,526.3157894736844,163.915703919437,333.82698975000005,1.0,0.0,0.0,0.0,0.0,1777.126768337763,0.0,1772.53181425
2018-02-09 09:00:00,1321.6957022085137,1123.4413468772366,1.0,200.0000000000001,1.0,289.4736842105265,526.3157894736845,163.9616035104528,334.38696325,1.0,0.0,0.0,0.0,0.0,1747.301994337763,0.0,1742.70704025
2018-02-09 10:00:00,1579.365932162074,1342.4610423377628,1.0,0.0,0.0,0.0,0.0,163.8047185143053,332.47558675,1.0,0.0,0.0,0.0,0.0,1674.9366290877629,0.0,1670.341675
2018-02-09 11:00:00,1162.9037183849841,988.4681606272364,1.0,200.0,1.0,289.47368421052636,526.3157894736843,163.9677822181478,334.46385675,1.0,0.0,0.0,0.0,0.0,1612.405701587763,0.0,1607.8107475
2018-02-09 12:00:00,1066.4326680908666,906.4677678772366,1.0,200.00000000000009,1.0,289.47368421052647,526.3157894736845,164.2096589930893,337.436153,1.0,0.0,0.0,0.0,0.0,1533.377605087763,0.0,1528.782651
2018-02-09 13:00:00,1000.0635086791021,850.0539823772368,1.0,200.0,1.0,289.47368421052636,526.3157894736843,164.3607969959265,339.30573625,1.0,0.0,0.0,0.0,0.0,1478.833402837763,0.0,1474.23844875
2018-02-09 14:00:00,999.3011205908665,849.4059525022365,1.0,200.00000000000006,1.0,289.47368421052647,526.3157894736844,164.33462356754606,338.980687875,1.0,0.0,0.0,0.0,0.0,1477.860324587763,0.0,1473.2653705
2018-02-09 15:00:00,972.7150975026312,826.8078328772365,1.0,200.00000000000003,1.0,289.4736842105264,526.3157894736843,164.1571166137419,336.78886875,1.0,0.0,0.0,0.0,0.0,1453.070385837763,0.0,1448.47543175
2018-02-09 16:00:00,1045.1926488261606,888.4137515022366,1.0,200.0,1.0,289.47368421052636,526.3157894736843,163.92871027204728,333.985970375,1.0,0.0,0.0,0.0,0.0,1511.873406087763,0.0,1507.278452
2018-02-09 17:00:00,1140.895996179102,969.7615967522366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.70788663779865,331.297511875,1.0,0.0,0.0,0.0,0.0,1590.532792837763,0.0,1585.93783875
2018-02-09 18:00:00,1323.2079207379256,1124.7267326272367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.59171579027677,329.89035675,1.0,0.0,0.0,0.0,0.0,1744.090773587763,0.0,1739.4958195
2018-02-09 19:00:00,1338.2558439732197,1137.5174673772367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.55957078860504,329.501732,1.0,0.0,0.0,0.0,0.0,1756.492883587763,0.0,1751.8979295
