,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-02 12:00:00,0.0,0.0,0.0,-0.0,0.0,857.1948329081237,1732.6656521897767,1.0,0.0,-0.0,-0.0,1732.6656521897767,50697.56071674563,1741.18500325
2018-01-02 13:00:00,0.0,0.0,0.0,-0.0,0.0,857.1973728613117,1732.6868464853892,1.0,0.0,-0.0,-0.0,1732.6868464853892,50701.75050069163,1718.2205055
2018-01-02 14:00:00,0.0,0.0,0.0,-0.0,0.0,855.9524180404487,1717.6482151773748,1.0,0.0,-0.0,-0.0,1717.6482151773748,50708.94754653654,1700.17414275
2018-01-02 15:00:00,0.0,0.0,0.0,-0.0,0.0,854.1102060583495,1695.5143210685212,1.0,0.0,-0.0,-0.0,1695.5143210685212,50701.488266709974,1692.69576775
2018-01-02 16:00:00,0.0,0.0,0.0,-0.0,0.0,852.4151147029859,1675.4999789442445,1.0,0.0,-0.0,-0.0,1675.4999789442445,50683.163210459934,1683.548038
2018-01-02 17:00:00,0.0,0.0,0.0,-0.0,0.0,851.6574729874277,1666.4982043423397,1.0,0.0,-0.0,-0.0,1666.4982043423397,50691.34159152078,1648.04487975
2018-01-02 18:00:00,0.0,0.0,0.0,-0.0,0.0,849.8275399890024,1645.2140892770553,1.0,0.0,-0.0,-0.0,1645.2140892770553,50662.82744447689,1663.45237625
2018-01-02 19:00:00,0.0,0.0,0.0,-0.0,0.0,849.8298501149408,1645.2325522882638,1.0,0.0,-0.0,-0.0,1645.2325522882638,50616.664974733794,1681.1223575
2018-01-02 20:00:00,0.0,0.0,0.0,-0.0,0.0,847.9047703533087,1622.9379948915707,1.0,0.0,-0.0,-0.0,1622.9379948915707,50514.80781545582,1714.5276629999998
2018-01-02 21:00:00,0.0,0.0,0.0,-0.0,0.0,696.8171428048785,1320.3585229923901,1.0,0.0,-0.0,-0.0,1320.3585229923901,50039.70996126448,1785.200301
2018-01-02 22:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,48135.77244961619,1893.734679
2018-01-02 23:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,46189.263087265426,1936.51990125
2018-01-03 00:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,44209.898059428466,1969.5937092499998
2018-01-03 01:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,42216.502330692645,1983.84623475
2018-01-03 02:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,40203.70783295849,2003.46840075
2018-01-03 03:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,38181.35207346824,2013.2552335
