Time;T_amp
2318400;-5.6
2322000;-6
2325600;-5.6
2329200;-6.6
2332800;-6.7
2336400;-6.6
2340000;-6.4
2343600;-6.9
2347200;-6.8
2350800;-7.5
2354400;-7.5
2358000;-7.2
2361600;-7.2
2365200;-5.2
2368800;-2.8
2372400;-1.4
2376000;-0.7
2379600;-0.1
2383200;-0.1
2386800;-0.5
2390400;-1.1
2394000;-3
2397600;-3.6
2401200;-4.1
2404800;-4.6
2408400;-5
2412000;-5.3
2415600;-5.6
2419200;-5.9
2422800;-6
2426400;-5.8
2430000;-5.3
2433600;-4.8
2437200;-3.4
2440800;-3.5
2444400;-3
2448000;-2.6
2451600;-2.4
2455200;-1.2
2458800;-0.3
2462400;0.3
2466000;0.4
2469600;0.7
2473200;0.9
2476800;1.3
2480400;1
2484000;1.1
2487600;1.2
2491200;0.9
2494800;0.8
2498400;0.9
2502000;1.6
2505600;1.2
2509200;1
2512800;0.9
2516400;0.8
2520000;0.8
2523600;1.2
2527200;1.5
2530800;1.3
2534400;1.7
2538000;2.2
2541600;3.2
2545200;3.7
2548800;4.9
2552400;4.5
2556000;3.7
2559600;3.7
2563200;3.4
2566800;3.3
2570400;3
2574000;2.7
2577600;2.5
2581200;2.2
2584800;2
2588400;1.9
2592000;1.7
2595600;1.7
2599200;1.6
2602800;1.4
2606400;1.1
2610000;1.1
2613600;0.8
2617200;0.8
2620800;0.8
2624400;1.4
2628000;2
2631600;2.1
2635200;2.3
2638800;2.2
2642400;2.2
2646000;1.9
2649600;2
2653200;2
2656800;2
2660400;1.8
2664000;2
2667600;1.9
2671200;1.6
2674800;1.5
2678400;1.3
2682000;1.5
2685600;1.2
2689200;1.1
2692800;0.9
2696400;1
2700000;1.2
2703600;1.4
2707200;1.5
2710800;1.7
2714400;1.8
2718000;1.9
2721600;1.9
2725200;1.8
2728800;1.8
2732400;1.4
2736000;1.3
2739600;1
2743200;1.1
2746800;1.4
2750400;1.3
2754000;1.1
2757600;1.3
2761200;1.5
2764800;1.2
2768400;1.4
2772000;1.3
2775600;1.3
2779200;1.1
2782800;1.2
2786400;1.5
2790000;1.4
2793600;1.4
2797200;1.5
2800800;1.8
2804400;2
2808000;2.1
2811600;2.1
2815200;2.2
2818800;2.2
2822400;2.1
2826000;2.1
2829600;2
2833200;2.1
2836800;2.1
2840400;2
2844000;2
2847600;2
2851200;2.5
2854800;2.4
2858400;2.6
2862000;2.7
2865600;2.6
2869200;2.6
2872800;2.6
2876400;2.7
2880000;2
2883600;2.3
2887200;2.9
2890800;3.4
2894400;4
2898000;3.9
2901600;3
2905200;3.1
2908800;1.5
2912400;0.2
2916000;0.1
2919600;-0.3
2923200;-0.2
2926800;-0.3
2930400;-0.5
2934000;-0.3
2937600;-0.4
2941200;-0.1
2944800;0
2948400;0.5
2952000;0.9
2955600;0.5
2959200;0.2
2962800;0.1
2966400;0
2970000;0.3
2973600;0.8
2977200;0.9
2980800;1
2984400;1
2988000;0.9
2991600;0.3
2995200;-0.6
2998800;-1.3
3002400;-1.6
3006000;-1.6
3009600;-1.7
3013200;-1.9
3016800;-2.5
3020400;-2.5
3024000;-2.5
3027600;-2.1
